date,rot_num_away_team,away_team_name,rot_num_home_team,home_team_name,away_team_runline_open,away_team_runline_open_odds,home_team_runline_open,home_team_runline_open_odds,away_team_runline_close,away_team_runline_close_odds,home_team_runline_close,home_team_runline_close_odds,away_team_moneyline_open,home_team_moneyline_open,away_team_moneyline_close,home_team_moneyline_close,over_open,over_open_odds,under_open,under_open_odds,over_close,over_close_odds,under_close,under_close_odds
Fri Jun 10,957,Reds,958,Cardinals,+1.5,-200,-1.5,-200,+1.5,-150,-1.5,+155,-105,-115,+160,-138,o7.5,-110,u7.5,-110,o8,-105,u7.5,-105
Fri Jun 10,979,Mets,980,Angels,-1.5,+145,+1.5,+145,-1.5,+140,+1.5,-150,-125,+105,-121,+110,o8.5,-110,u8.5,-110,o8.5,-105,u8.5,-103
Fri Jun 10,959,Rockies,960,Padres,+1.5,-110,-1.5,-110,+1.5,+105,-1.5,-110,+195,-240,+220,-250,o7,-110,u7,-110,o7.5,-105,u7.5,-110
Fri Jun 10,973,Red Sox,974,Mariners,-1.5,+155,+1.5,+155,-1.5,+150,+1.5,-165,-115,-105,-108,-104,o8,-125,u8,105,o8.5,-110,u8.5,-104
Fri Jun 10,961,Dodgers,962,Giants,-1.5,+104,+1.5,+104,-1.5,+115,+1.5,-125,-162,+136,-150,+135,o8,-118,u8,-104,o9,+100,u9,-117
Fri Jun 10,975,Cubs,976,Yankees,+1.5,-115,-1.5,-115,+1.5,+110,-1.5,-118,+195,-240,+220,-250,o8.5,-115,u8.5,-105,o9,+102,u8.5,-105
Fri Jun 10,951,Diamondbacks,952,Phillies,+1.5,-190,-1.5,-190,+1.5,-115,-1.5,+145,+115,-134,+185,-140,o8,-120,u8,100,o8.5,-105,u8.5,-103
Fri Jun 10,953,Brewers,954,Nationals,-1.5,+150,+1.5,+150,-1.5,+105,+1.5,-105,-152,+132,-150,+160,o8.5,-115,u8.5,-105,o8.5,-110,u8.5,-105
Fri Jun 10,963,Blue Jays,964,Tigers,-1.5,-120,+1.5,-120,-1.5,-130,-1.5,+360,-200,+170,-220,+190,o8.5,-110,u8.5,-110,o9,+105,u8.5,+100
Fri Jun 10,965,Athletics,966,Guardians,+1.5,-135,-1.5,-135,+1.5,-135,-1.5,+180,+150,-170,+145,-120,o8,100,u8,-120,o8.5,-104,u8,-103
Fri Jun 10,955,Pirates,956,Braves,+1.5,-130,-1.5,-130,+1.5,+100,-1.5,+100,+150,-170,+215,-205,o8.5,-105,u8.5,-115,o8.5,+100,u8,-103
Fri Jun 10,971,Rays,972,Twins,-1.5,+140,+1.5,+140,-1.5,+165,-1.5,+175,-122,+102,+106,-118,o8.5,-105,u8.5,-115,o9,+100,u9,-105
Fri Jun 10,967,Rangers,968,White Sox,+1.5,-200,-1.5,-200,+1.5,-160,-1.5,+145,-105,-115,+130,-135,o9,-110,u9,-110,o9.5,+105,u9,-106
Fri Jun 10,969,Orioles,970,Royals,-1.5,+140,+1.5,+140,-1.5,+148,+1.5,-160,-115,-105,-108,-103,o9,-105,u9,-115,o9.5,+100,u9.5,-114
